code,citystate,city,state
ALC,"ALCAN, AK",ALCAN,AK
ANC,"ANCHORAGE, AK",ANCHORAGE,AK
BAR,"BAKER AAF - BAKER ISLAND, AK",BAKER AAF - BAKER ISLAND,AK
DAC,"DALTONS CACHE, AK",DALTONS CACHE,AK
PIZ,"DEW STATION PT LAY DEW, AK",DEW STATION PT LAY DEW,AK
DTH,"DUTCH HARBOR, AK",DUTCH HARBOR,AK
EGL,"EAGLE, AK",EAGLE,AK
FRB,"FAIRBANKS, AK",FAIRBANKS,AK
HOM,"HOMER, AK",HOMER,AK
HYD,"HYDER, AK",HYDER,AK
JUN,"JUNEAU, AK",JUNEAU,AK
5KE,"KETCHIKAN, AK",KETCHIKAN,AK
KET,"KETCHIKAN, AK",KETCHIKAN,AK
MOS,"MOSES POINT INTERMEDIATE, AK",MOSES POINT INTERMEDIATE,AK
NIK,"NIKISKI, AK",NIKISKI,AK
NOM,"NOM, AK",NOM,AK
PKC,"POKER CREEK, AK",POKER CREEK,AK
ORI,"PORT LIONS SPB, AK",PORT LIONS SPB,AK
SKA,"SKAGWAY, AK",SKAGWAY,AK
SNP,"ST. PAUL ISLAND, AK",ST. PAUL ISLAND,AK
TKI,"TOKEEN, AK",TOKEEN,AK
WRA,"WRANGELL, AK",WRANGELL,AK
HSV,"MADISON COUNTY - HUNTSVILLE, AL",MADISON COUNTY - HUNTSVILLE,AL
MOB,"MOBILE, AL",MOBILE,AL
ROG,"ROGERS ARPT, AR",ROGERS ARPT,AR
DOU,"DOUGLAS, AZ",DOUGLAS,AZ
LUK,"LUKEVILLE, AZ",LUKEVILLE,AZ
MAP,"MARIPOSA, AZ",MARIPOSA,AZ
NAC,"NACO, AZ",NACO,AZ
NOG,"NOGALES, AZ",NOGALES,AZ
PHO,"PHOENIX, AZ",PHOENIX,AZ
POR,"PORTAL, AZ",PORTAL,AZ
SLU,"SAN LUIS, AZ",SAN LUIS,AZ
SAS,"SASABE, AZ",SASABE,AZ
TUC,"TUCSON, AZ",TUCSON,AZ
YUI,"YUMA, AZ",YUMA,AZ
AND,"ANDRADE, CA",ANDRADE,CA
BUR,"BURBANK, CA",BURBANK,CA
CAL,"CALEXICO, CA",CALEXICO,CA
CAO,"CAMPO, CA",CAMPO,CA
FRE,"FRESNO, CA",FRESNO,CA
ICP,"IMPERIAL COUNTY, CA",IMPERIAL COUNTY,CA
LNB,"LONG BEACH, CA",LONG BEACH,CA
LOS,"LOS ANGELES, CA",LOS ANGELES,CA
BFL,"MEADOWS FIELD - BAKERSFIELD, CA",MEADOWS FIELD - BAKERSFIELD,CA
OAK,"OAKLAND, CA",OAKLAND,CA
ONT,"ONTARIO, CA",ONTARIO,CA
OTM,"OTAY MESA, CA",OTAY MESA,CA
BLT,"PACIFIC, HWY. STATION, CA","PACIFIC, HWY. STATION",CA
PSP,"PALM SPRINGS, CA",PALM SPRINGS,CA
SAC,"SACRAMENTO, CA",SACRAMENTO,CA
SDP,"SAN DIEGO, CA",SAN DIEGO,CA
SFR,"SAN FRANCISCO, CA",SAN FRANCISCO,CA
SNJ,"SAN JOSE, CA",SAN JOSE,CA
SLO,"SAN LUIS OBISPO, CA",SAN LUIS OBISPO,CA
SPC,"SAN PEDRO, CA",SAN PEDRO,CA
SYS,"SAN YSIDRO, CA",SAN YSIDRO,CA
SAA,"SANTA ANA, CA",SANTA ANA,CA
TEC,"TECATE, CA",TECATE,CA
TRV,"TRAVIS-AFB, CA",TRAVIS-AFB,CA
